ACRONYM,DEFINITION
OJDB (CDRH),Orthopedic Joint Devices Branch (CDRH)
OLA (OC),Office of Legislative Affairs (OC)
OLE,object linking and embedding (Microsoft)
OM (CBER),Office of Management (CBER)
OM (CDER),Office of Management (CDER)
OM (CVM),Office of Management (CVM)
OM (OC),Office of Management (OC)
OMB,Office of Management and Budget (U.S.)
OMB (NCTR),Operations and Maintenance Branch (NCTR)
OMH (OC),Office of Minority Health (OC)
OMO (CDRH),Office of Management Operations (CDRH)
OMP (CDER),Office of Medical Policy (CDER)
OMP (OC),Office of Management Programs (OC)
OMPQ (CDER),Office of Manufacturing and Product Quality (CDER) (formerly Division of Manufacturing and Product Quality - DMPQ)
OMPT,Office of Medical Products and Tobacco
OMRF,Oklahoma Medical Research Foundation
OMS (CFSAN),Office of Management Systems (CFSAN)
OMS (NCTR),Office of Management Services (NCTR)
OMT,oral mucosal transudate
ONADE (CVM),Office of New Animal Drug Evaluation (CVM)
ONC,Office of the National Coordinator for Health Information Technology (DHHS)
ONCHIT,Office of the National Coordinator for Health Information Technology (DHHS)
OND (CDER),Office of New Drugs (CDER)
ONDQA (CDER),Office of New Drug Quality Assessment (CDER)
ONLDS (CFSAN),"Office of Nutrition, Labeling and Dietary Supplements (CFSAN)"
ONP (CDER),Office of Nonprescription Products (CDER)
ONPLDS (CFSAN),"Office of Nutritional Products, Labeling and Dietary Supplements (CFSAN)"
OO (CFSAN),Office of Operations (CFSAN)
OO (OC),Offffice of the Ombudsman (OC)
OO (OC),Office of Operations (OC)
OOB,out of business
OODP (CDER),Office of Oncology Drug Products (CDER)
OOP,order of predominance [in the ingredients statement]
OOPD,Office of Orphan Products Development
OOS,out of specification
OP (OC),Office of Policy (OC)
OP 1 (OC),Operations Team 1 (OC)
OP 2 (OC),Operations Team 2 (OC)
OP 3 (OC),Operations Team 3 (OC)
OP 4 (OC),Operations Team 4 (OC)
OPA (CDER),Office of Planning and Analysis (CDER)
OPA (OC),Office of Public Affairs (OC)
OPB (ORA),Operations and Policy Branch (ORA)
OPD (OC),Office of Orphan Products Development (OC)
OPDFB (CFSAN),"Office of Plants, Dairy Foods and Beverages (CFSAN)"
OPDIV,operating division
OPDP,"Office of Prescription Drug Promotion (CDER) (formerly Division of Drug Marketing, Advertisement and Communications - DDMAC)"
OPF,Official Personnel Folder
OPFIT (NCTR),"Office of Planning, Finance and Information Technology (NCTR)"
OPHEP,Office of Public Health Emergency Preparedness (HHS)
OPHEP,Office of Public Health Emergency Preparedness (HHS)
OPI (CDER),Office of Planning and Informatics (CDER)
OPL (OC),Office of Planning (OC)
OPM,Office of Personnel Management (U.S.)
OPMAD (CDRH),Orthopedic Physical Medicine and Anesthesiology Devices Branch (CDRH)
OPO,Organ Procurement Organization
OPPL (OC),"Office of Policy, Planning and Legislation (OC)"
OPS (CDER),Office of Pharmaceutical Science (CDER)
OPT (OC),Office of Pediatric Therapeutics (OC)
OPTN,Organ Procurement and Transplantation Network
OPV,oral polio vaccine
OQ,operational qualification
OR (CVM),Office of Research (CVM)
ORA,Office of Regulatory Affairs (FDA)
ORA,operations research analyst
ORADSS,"Office of Regulatory Affairs Reporting, Analysis and Decision Support System"
Orange Book,Approved Drug Products with Therapeutic Equivalence Evaluations
ORI,Office of Research Integrity (HHS)
ORISE,Oak Ridge Institute for Science and Education
ORL-DO (ORA),Orlando District Office (ORA)
ORM,operational risk management
ORM,operational risk management
ORM (ORA),Office of Resource Management (ORA)
ORNL,Oak Ridge National Laboratory
ORO (ORA),Office of Regional Operations (ORA)
ORP (CDER),Office of Regulatory Policy (CDER)
ORP (CFSAN),Office of Regulations and Policy (CFSAN)
ORPS (OC),Office of Real Property Services (OC)
ORPSS (CFSAN),"Office of Regulations, Policy and Social Sciences (CFSAN)"
ORR,objective response rate
ORS (CFSAN),Office of Regulatory Science (CFSAN)
OS (CDER),Operations Staff (CDER)
OS (CFSAN),Office of Seafood (CFSAN)
OS (OC),Operations Staff (OC)
OSAS (CFSAN),Office of Scientific Analysis and Support (CFSAN)
OSB (CDRH),Office of Surveillance and Biometrics (CDRH)
OSB (CFSAN),Office Services Branch (CFSAN)
OSC (CVM),Office of Surveillance and Compliance (CVM)
OSCAR,ORACLE System for Center Automation and Retrieval
OSCI (CFSAN),Office of Science (CFSAN)
OSD-HD,Office of the Secretary of Defense for Homeland Defense
OSDB (CDRH),Orthopedic Spine Devices Branch (CDRH)
OSE (CDER),Office of Surveillance and Epidemiology (CDER)
OSEL (CDRH),Office of Science and Engineering Laboratories (CDRH)
OSG,Office of the Surgeon General (PHS)
OSHA,Occupational Safety and Health Administration (U.S. Department of Labor)
OSHC (OC),Office of Science and Health Coordination (OC)
OSHC (OC),Office of Science and Health Coordination (OC)
OSHI (OC),Office of Special Health Issues (OC)
OSHRC,Occupational Safety and Health Review Commission (U.S.)
OSI (CDER),Office of Scientific Investigation (CDER) (formerly Division of Scientific Investigation - DSI)
OSM,Office of Surface Mining (Department of the Interior)
OSO (OC),Office of Security Operations (OC)
OSP (CDER),Office of Strategic Programs (CDER) (formerly Office of Planning and Informatics)
OSS (OC),Office of Shared Services (OC)
OST (CFSAN),Office Services Team (CFSAN)
OSTP,Office of Science and Technology Policy (U.S.)
OTC,ornithine transcarbamylase deficiency
OTC,over-the-counter
OTCDHFB (CDER),OTC Drugs and Health Fraud Branch (CDER)
OTCOM (CDER),Office of Training and Communications (CDER)
OTFP,other than a food processing facility
OTR (CDER),Office of Testing and Research (CDER)
OTRR (CBER),Office of Therapeutics Research and Review (CBER)
OTS (CDER),Office of Translational Sciences (CDER)
OUDLC (CDER),Office of Unapproved Drugs and Labeling Compliance  (CDER) (formerly Division of New Drugs and Labeling Compliance - DNDLC)
OVI,organic volatile impurities
OVRR (CBER),Office of Vaccines Research and Review (CBER)
OVST (CFSAN),Operations and Veterinary Support Team (CFSAN)
OWA,Outlook Web Access
OWH (OC),Office of Women's Health (OC)
P & PC,production and process controls
PA,physical activity
PAAB,Pharmaceutical Advertising Advisory Board (Canada)
PAB,Pharmaceutical Affairs Bureau (Japan)
PAB (CFSAN),Product Adulteration Branch (CFSAN)
PAC,Political Action Committee
PAC,post-approval changes
PAC,private analytical certificate date (ORA AofC code)
PAC,program assignment code
PACE,Patient-centered Assessment and Counseling for Exercise
PACT,Post-Approval Commitment Tracking
PAD,pharmacologically active drug
PADE,Postmarketing Adverse Drug Experience
PADER,Periodic Adverse Drug Experience Report
PAER,Preliminary Adverse Event Report Review (CDRH)
PAFA,Priority-Based Assessment of Food Additives (CFSAN)
PAG,Project Advisory Group
PAGE,polyacrylimide gel electrophoresis
PAH,Polycyclic Aromatic Hydrocarbon
PAHO,Pan American Health Organization (WHO)
PAHPRA,Pandemic and All-Hazards Preparedness Reauthorization Act
PAI,pre-approval inspection
PAIS (ORA),Public Affairs and Information Staff (ORA)
PAITS,Pre-Approval Inspection Tracking System
PAL,public affairs liaison
PAM,Pesticide Analytical Manual
PAMP,Post-approval Monitoring System
PAO,Public Affairs Office
PAP,patient assistance programs
PAR,proven acceptable range
PARN,problem/action request notice
PARQ,Physical Activity Readiness Questionnaire
PARS (CDER),Program Activities Review Staff (CDER)
PART,Program Assessment Rating Tool
PAS,prior approval supplement
PAS,Public Affairs specialist
PAS (CDRH),Premarket Approval Section (CDRH)
PAT,Process Analytical Technology Initiative (CDER)
PATH,Population Assessment of Tobacco and Health
PB (CDRH),Planning Branch (CDRH)
PBM,pharmacy benefits management
PBPC,peripheral blood progenitor cell
PBSC,peripheral blood stem cell
PC,personal computer
PC,Preventive Controls
PCB,placental cord blood
PCBE,President's Council on Bioethics
PCBs,polychlorinated biphenyls
PCC,Poison Control Center
PCERT,Preclinical and Clinical Evaluation Review Template (Canada)
PCP,phencycladine
PCP,Pneumocystis carinii pneumonia
PCR,polymerase chain reaction
PCS,permanent change of station
PCT,photochemical treatment
PCT,practical clinical trial
PD,pharmacodynamics
PD,position description
PDA,Parenteral Drug Association
PDA,prescription drug advertising
PDB (CDER),Prescription Drugs Branch (CDER)
PDCA,Plan-Do-Check-Act
PDCS (OC),Policy Development and Coordination Staff (OC)
PDE,pediatric exclusivity
PDE,permitted daily exposure
PDF,portable document format
PDI,post donation information
PDLB (CDRH),"Pacing, Defibrillator and Leads Branch (CDRH)"
PDMA,Prescription Drug Marketing Act of 1988
PDO,protected designation of origin
PDP,principal display panel
PDP,product development protocol
PDQ,Physician Data Query (NCI)
PDR,Physician's Desk Reference
PDR,product defect reporting
PDS,permanent duty station
PDS (CDER),Project Development Staff (CDER)
PDUFA,Prescription Drug User Fee Act
PE,pharmacoeconomics
PE,physical education
PEB (CBER),Planning and Evaluation Branch (CBER)
PEB (CDRH),Program Enforcement Branch (CDRH)
PEB (CFSAN),Process Engineering Branch (CFSAN)
PEB (CFSAN),Program and Enforcement Branch (CFSAN)
PEB (ORA),Program Evaluation Branch (ORA)
PEB 1 (CDRH),Postmarket Evaluation Branch 1 (CDRH)
PEB 2 (CDRH),Postmarket Evaluation Branch 2 (CDRH)
PELT (CFSAN),Product Evaluation and Labeling Team (CFSAN)
PEP,pancreatic enzyme product
PEP,performance evaluation plan
PEPFAR,Presidential Emergency Plan for AIDS Relief
PER,Pharmaceutical Evaluation Reports (EMEA)
Per Diem,per day (total allowance for daily travel expenses)
PeRC,Pediatric Review Committee
PERI,Pharmaceutical Education and Research Institute
PERT,product-enhanced reverse transcriptase
PERV,porcine endogenous retrovirus
PET,polyethylene terephthalate
PET,positron emission tomography
PETA,People for the Ethical Treatment of Animals
PETG,polyethylene terephthalate G
PFGE,pulsed-field gel electrophoresis
PFI,Pet Food Institute
PFIPC,Permanent Forum on International Pharmaceutical Crime
PFL,Professional Flexible Labeling
PFO,Patent Foramen Ovale
PFO,principal federal official
PFS,Piper Fatigue Scale
PGB (CFSAN),Policy Guidance Branch (CFSAN)
Ph. Eur.,Pharmacopeia Europa
PHA,public health advisory
PHEMCE,Public Health Emergency Medical Countermeasures Enterprise
PHI,protected health information
PHIN,Public Health Information Network (CDC)
PHN,"Population, Health and Nutrition (Center)"
PHPPO,Public Health Practice Program Office (CDC)
PHPS,Public Health Prevention Service (CDC)
PhRMA,Pharmaceutical Research and Manufacturers of America
PHS,Public Health Service (DHHS)
PHSA,Public Health Service Act of 1944
PHTN,Public Health Training Network (CDC)
PI,package insert (approved product labeling)
PI,principal investigator
PIB (CBER),Program Inspection Branch (CBER)
PIC/S,pharmaceutical inspection convention/pharmaceutical inspection co-operation scheme
PICNIC,Professionals & Citizens Network for Integrated Care
PIFSI,Produce and Imported Foods Safety Initiative (CFSAN)
PIM,Product Information Management
PIN,personal identification number
PIP,Personal Importation Policy
PIP,plant-incorporated protectant
PIT,Process Improvement Team
PIV,Personal Identify Verification
PK,pharmacokinetics
PKA,prekallikrein activator
PKI,public key infrastructure
PKLN,Parklawn Building
PKU,phenylketonuria
PLA,product license application (CBER)
PLAIR,Pre-Launch Activities Importation Request
PLAS,Prior Label Approval System (FSIS)
PLF,Product Licensing Framework (Canada)
PLI,pre-license inspection (CBER)
PLLR,Pregnancy and Lactation Labeling Rule
PLR,Physician Labeling Rule
PLS,Pending Logging System
PLS,product license [application] supplement
PM,post-marketing
PM,project manager
PMA,device premarket approval number (ORA AofC code)
PMA,Pharmaceutical Manufacturer's Association
PMA,premarket application
PMA,premarket approval
PMAA,premarket approval application
PMAP,Performance Management Appraisal Program
PMB,pharmacy benefit manager
PMC,postmarketing commitment
PMCC,Project Management Coordinating Committee (CDER)
PMF,public master file
PMHS (CDER),Pediatric and Maternal Health Staff (CDER)
PMN,device premarket notification number (510k) (ORA AofC code)
PMN,premarket notification
PMO,Pasteurized Milk Ordinance
PMO,project management officer
PMOA,primary mode of action
PMP,Performance Management Program
PMP,plant-made pharmaceutical
PMP,Project Management Professional
PMPRB,Patented Medicine Prices Review Board (Canada)
PMR,postmarketing requirement
PMR,premarket report
PMRI,patient medical record information
PMRI,Preventive Medicine Research Institute
PMS,postmarketing surveillance
PMS (CDRH),Program Management Staff (CDRH)
PMS (OC),Print Media Staff (OC)
PMSB,Pharmaceutical and Medical Safety Bureau (Japan)
PMSB (CBER),Program Management Services Branch (CBER)
PMSB (CDER),Program Management Services Branch (CDER)
PMSC,Pre-Market Surveillance and Compliance (CFSAN)
PN,product name
PNC (ORA),Prior Notice Center (ORA)
PNNL,Pacific Northwest National Laboratory
PNR,passenger name record
PNS,peripheral nervous system
PNS (CDRH),Premarket Notification Section (CDRH)
PNSI,prior notice system interface
PO,per os (by mouth)
POA,privately owned automobile
POB (CBER),Program Operations Branch (CBER)
POC,point of contact
PODS,Program Oriented Data System
PODS,Project Oriented Data System
POM,prescription-only medicine (UK)
POM,program objective memorandum
POMS,profile of mood states
POS,point of sale
POS (CBER),Program Operation Staff (CBER)
POS (CDRH),Program Operations Staff (CDRH)
POV,privately-owned vehicle
POWER,"Petition Optical Workflow, Exchange and Retrieval (CFSAN's FARM System)"
PP,pay period
PPA,phenylpropanolamine
PPA,Poison Prevention Act
ppb,parts per billion
PPB (CFSAN),Plant Products Branch (CFSAN)
PPC,production and process controls
PPE,pay period ending
PPE,personal protective equipment
PPI,patient package insert
PPI,planned product improvements
PPI,proton pump inhibitor
PPIA,Poultry Products Inspection Act
ppm,parts per million
PPM,planned preventive maintenance
PPP,point-to-point protocol
PPQ,plant protection and quarantine (USDA)
PPS (CBER),Policy and Publications Staff (CBER)
PPSR,Proposal for Pediatric Studies Request
PPT,plasma preparation tube
PPTA,Plasma Protein Therapeutics Association
PPTP,point-to-point tunneling protocol (Microsoft)
PPV,Patient Profile Viewer
PPWMB (ORA),Program Planning and Workforce Management Branch (ORA)
PQ,performance qualification
PQ,process qualification
PQAS,Pharmaceutical Quality Assessment System
PQG,Pharmaceutical Quality Group
PQLS (CBER),Product Quality Laboratory Staff (CBER)
PQRI,Product Quality Research Institute
PR,Public Relations
PR,pulse rate
PR (CBER),Product Review Branch (CBER)
PRA,Paperwork Reduction Act of 1995
PRB,PDUFA Review Board
PRB,Performance Review Board
PRB (CBER),Product Release Branch (CBER)
PRB (CFSAN),Pathology Branch (CFSAN)
PREA,Pediatric Research Equity Act of 2003
PRIM & R,Public Responsibility in Medicine and Research
PRL-NW,Pacific Regional Laboratory - Northwest (ORA)
PRL-SW,Pacific Regional Laboratory - Southwest (ORA)
PRMB (CDER),Program and Resources Management Branch (CDER)
PRN,as needed
PRO,patient-reported outcome
Prop 65,Proposition 65
PrP,prion protein
PRRB (OC),Paperwork Reduction and Records Branch (OC)
PRRMS (OC),Paperwork Reduction and Records Management Staff (OC)
PRS (OC),Policy Research Staff (OC)
PRSB (CDRH),Plastic and Reconstructive Surgery Devices Branch (CDRH)
PS,particle size
PS (CDER),Planning Staff (OC)
PSA,Poultry Science Association
PSA,prostate specific antigen
PSB (CBER),Program Surveillance Branch (CBER)
PSC,Postmarket Strategies Committee
PSC,Program Support Center (DHHS)
PSD (OC),Payment Services Division (OC)
PSI,Pharmaceutical Society of Ireland
PSN,Patient Safety News (FDA)
PSNI,Pharmaceutical Society of Northern Ireland
PSP,physician special pay
PSS (CDRH),Patient Safety Staff (CDRH)
PSSB (CFSAN),Program Support Services Branch (CFSAN)
PST,porcine somatotropin
PSUR,Periodic Safety Update Reports
PT,part time
PT,preferred term
PTB (CBER),Pharmacology and Toxicology Branch (CBER)
PTC,Parklawn Training Center
PTC,Points To Consider
PTCC,Pharmacology and Toxicology Coordinating Committee (CDER)
PTE,patent term extension
PTEI,Pittsburgh Tissue Engineering Initiative
PTFE,polytetrafluroethylene
PTK,phototherapeutic keratectomy
PTO,Patent and Trademark Office (U.S. Department of Commerce)
PTR,platelet transfusion reaction
PTS (CBER),Product Testing Section (CBER)
PTU,propylthiouracil
PUD,peptic ulcer disease
PUFI,packed under federal inspection
PV,process validation
PVC,polyvinyl chloride
PVDB (CDRH),Peripheral Vascular Devices Branch (CDRH)
PWS,performance work statement
Q & A,questions and answers
Q1H,every 1 hour
QA,quality assurance
QAO,Quality Assurance Officer
QAS (CBER),Quality Assurance Staff (CBER)
QAS (CDER),Quality Assurance Staff (CDER)
QAT (CBER),Quality Assurance Team (CBER)
QAU (CFSAN),Quality Assurance Unit (CFSAN)
QbD,Quality by Design
QbR,Question-based Review
QC,quality control
QCP,quality control program
QD,once daily
QHS,at bedtime
QID,four times a day
QIS-P,Quality Information Summary Pharmaceuticals (Canada)
QL,quality of life
QMiS,Quality Management Information System
QMS,Quality Management System
QMS (CDER),Quality Management Staff (CDER)
QNS,quantity not sufficient
QOD,every other day
QoL,quality of life
QOS,quality overall summary (of CTD)
QP,qualified person (EU)
QS,Quality System
QSAR,Quantitative Structure Activity Relationship
QSI,quality step increase
QSIT,quality system inspection technique (CDRH)
QSM,Quality System Manager
QSR,quality system record
QSR,quality system regulation
QSR,quality system representative
QTV,Qualified Through Verification (USDA)
QU,quality unit
QWL,quality of work life
R & D,research and development
R & E,Recall and Emergency (ORA)
R & W,recreation and welfare
R-CHOP,"Drug combination that includes rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisone"
RA,rheumatoid arthritis
RAA,Research Across America
RAC,raw agricultural commodity
RAC,Recombinant DNA Advisory Committee (NIH)
RAC,Regulatory Affairs Certification
RAC,Reviewer Affairs Committee (CDER) [disbanded 2000]
RACC,reference amount customarily consumed
RACT (CFSAN),Risk Assessment Coordination Team (CFSAN)
RAD,rapid applications development
RADAR,radio detecting and ranging
RADAR,risk assessment of drugs - analysis and response
RAE,remedial action exemption
RAM,random access memory
RAM,reporting and analysis module (EASE)
RAMP,Remedial Action Management Program
RAPS,Regulatory Affairs Professionals Society
RBC,Red blood cells
RCC,Research Coordinating Committee
RCH,remove clinical hold
RCHSA,Radiation Control for Health and Safety Act of 1968
RCR,replication competent retrovirus
RCR,Risk Control Review
RCRIM,Regulated Clinical Research Information Management
RCS,records control schedule
RCS (CFSAN),Regulations Coordination Staff (CFSAN)
RCT,randomized clinical trial
RCT (CFSAN),Recall Team (CFSAN)
RD,registration dossier
RDA,recommended daily allowance
RDB (CDRH),Radiological Devices Branch (CDRH)
RDBMS,Relational Database Management System
RDE,remote data entry
RDI,reference daily intake
rDNA,recombinant deoxyribonucleic
RDRC,Radioactive Drug Research Committee (CDER)
RDT,rising dose tolerance
RDTS,Reproductive and Developmental Toxicology Subcommittee (CDER)
REDS-II,Retrovirus Epidemiology Donor Study
REE,"Research, Education and Economics (USDA)"
REG,drug registration number (ORA AofC code)
reg neg,regulatory negotiation
ReGo,Reinventing the United States Government
REIS,Regional Economic Information System
REMS,risk evaluation and mitigation strategy
RES,Recall Enterprise System (ORA)
RES,residence
RES (OC),Regulations Editorial Section (OC)
RESNA,Rehabilitation Engineering & Assistive Technology Society of North America
RFA,request for application
RFC,request for contract
RFCPCS (CFAN),Retail Food and Cooperative Programs Coordination Staff (CFSAN)
RFD,request for designation
RFDD,Regional Food and Drug Director
RFE,Regulatory Fish Encyclopedia
RFI,request for information
RFID,radio-frequency identification
RFP,request for proposal
RFPT (CFSAN),Retail Food Protection Team (CFSAN)
RFR,Reportable Food Registry
RFS,Review Flow System
RH,relative humidity
RH,responsible head
RIA,radioimmunoassay
RIAS,regulatory impact analysis statement (Canada)
RIBA™,recombinant immunoblot assay (Chiron ®)
RIC,Resident In Charge
RICHS,Rural Information Center Health Service
RIF,reduction-in-force
RIHSC,Research Involving Human Subjects Committee (FDA)
RIM,reference information model (HL7)
RIMS,Regulatory Information Management Staff
RIPA,radioimunoprecipitation assay
RIS,Regulatory Information Specialist
RIS (CBER),Retroviral Immunology Section (CBER)
RiskMAP,risk minimization action plan
RIT,relocation income tax
RKW1,Rockwall Building I
RKW2,Rockwall Building II
RL,regulatory letter (FDA post-audit letter)
RLD,reference listed drug
RM,raw material
RMAB (CDRH),Risk Management and Analysis Branch (CDRH)
RMB (CBER),Resource Management Branch (CBER)
RMCC,Review Management Coordinating Committee (CBER)
RMP, Regulatory Management Plan
RMP,Risk Management Plan
RMS,Reference Member State (Europe)
RMS,regulatory management system
RMS (CDER),Review Management Staff (CDER)
RMS-BLA,Regulatory Management System - Biologics License Application
RMT (CFSAN),Regulations Management Team (CFSAN)
RNA,ribonucleic acid
ROA,read only access
ROC,receiver operating characteristic curve
RODS,Real-Time Outbreak & Disease Surveillance System
ROI,report of investigation
ROI,return on investment
ROM,Results Oriented Management
RP,Resident Post
RPB (CDRH),Radiation Programs Branch (CDRH)
RPM,Regulatory Procedures Manual (ORA)
RPM,Regulatory Project Manager
RPMB (CBER),Regulatory Project Management Branch (CBER)
RPMCC,Regulatory Project Management Coordinating Committee (CDER)
RPMS (OC),Regulations Policy and Management Staff (OC)
RPO,Regional Personnel Office
RPO,Regulatory Project Officer
RPS,regulatory product submission
RPS (CDER),Regulatory Policy Staff (CDER)
RPSGB,Royal Pharmaceutical Society of Great Britain
RR,recall recommendation
RR,relative risk
RR,repeatedly reactive
RRCC,Regional Response Coordination Center (FEMA)
RRHR,regional radiological health representative
RRS,Resource Reporting System (CBER)
RRSS (CDER),Regulatory Review Support Staff (CDER)
RSB (CDER),Recalls and Shortages Branch (CDER)
RSB (CDER),Review Support Branch (CDER)
RSGEMS (CFSAN),Regulations and Special Government Employees Management Staff (CFSAN)
RSMB (CDRH),Reporting Systems Monitoring Branch (CDRH)
RSNA,Radiological Society of North America
RSO,radiation safety officer
RSOI,"reception, staging, onward movement, and integration"
RSS,RDF (resource data framework) site summary
RSS,really simple syndication
RSS,rich site summary
RSS (CDER),Regulatory Support Staff (CDER)
RSV,respiratory syncytial virus
RSVIG,respiratory synctial virus immune globulin
RSVIGIV,respiratory synctial virus immune globulin intravenous
RSVP,Resource Reporting System Via Projects (CFSAN)
RTA,refusal-to-accept
RTE,ready-to-eat
RTF,refusal to file
RTF,rich text format
RTL (NCTR),Reproductive Toxicology Laboratory (NCTR)
RTM,Recall Team member
RTO,Regional Training Officer
RTR,recall termination recommendation
RU-486,Roussel Uclaf (original designer) abortifacient drug (mifepristone)
RUG,resource utilization group
RUO,research use only
RVIS,Residue Violation Information System
Rx,prescription
S & E,safety and effectiveness
S/C,servings per container
S/L,sick leave
S/NDS,supplemental new drug submission (Canada)
SA,sustained action [medication]
SAB,Science Advisory Board
SACD,Special Assistant to the Center Director
SACS,Scientific Advisors and Consultants Staff (CBER)
SACX,Secretary's Advisory Committee on Xenotransplantation (NIH)
SAD,single ascending dose
SADR,suspected adverse drug reaction
SAE,serious adverse event
SAER,Standard Adverse Event Report Review (CDRH)
SAF,state access to FACTS
SAI,single active ingredient
SAL,sterility assurance level
SAMHSA,Substance Abuse and Mental Heath Services Administration (DHHS)
SAN-DO,San Francisco District Office
SAP,Scientific Advisory Panel
SAP,service access point
SAP,Special Access Program
SAP,Statistical Analysis Plan
SAPB (CFSAN),Shellfish and Aquaculture Policy Branch (CFSAN)
SAR,search and rescue
SARS,severe acute respiratory syndrome
SAS,Symptom Assessment Scale
SAT (CFSAN),Statistical Applications Team (CFSAN)
SB (ORA),Systems Branch (ORA)
SBA,Small Business Administration (U.S.)
SBA,summary basis of approval
SBIR,Small Business Innovation Research
sBLA,supplemental Biologics License Application
SBOA,Summary Basis of Approval
SBREFA,Small Business Regulatory Enforcement Fairness Act
SBRS,Senior Biomedical Research Service
SC,study coordinator
SC,subcutaneous
SC (CDRH),Staff College (CDRH)
SC (CFSAN),Staff College (CFSAN)
SCAW,Scientists Center for Animal Welfare
SCC,Sector Coordinating Council [for Food and Agriculture]
SCD,service computation date
SCGD,special controls guidance documents
SCL,Symptom Checklist
SCLIR,Secondary Calibration Laboratories for Ionizing Radiation
SCOGS,Select Committee on GRAS Substances
SCR,system change request
SCRAG,Senior Civilian Representative of the Attorney Gemeral (Department of Homeland Security)
SCRRB (ORA),Scientific Compliance and Regulatory Review Branch (ORA)
SCSB (CFSAN),Scientific Computer Support Branch (CFSAN)
SCT,Society for Clinical Trials
SCVIR,Society for Cardiovascular and Interventional Radiologists (now SIR)
SD,Scientific Director
SD,standard deviation
SDAB (CDER),Surveillance and Data Analysis Branch (CDER)
SDM,Submission Data Model (CDISC)
SDM,system development methodology
SDN,Screening Deficiency Notice (Canada)
SDO,Standards Development Organization
SDS,Submission Data Standards (CDISC)
SDS-PAGE,sodium dodecyl sulfate polyacrylamide gel electrophoresis
SDTM,Study Data Tabulation Model (CDISC)
SDWA,Safe Drinking Water Act
SDWIS,Safe Drinking Water Information System
SE,Salmonella Enteriditis
SE,standard error
SE,substantially equivalent
SEC,Securities and Exchange Commission (U.S.)
SEDS,Shared Establishment Data Service (FHA)
SEER,"Surveillance, Epidemiology, and End Results (Registry of NCI)"
SEIU,Service Employees International Union
SEND,Standards for Exchange of Nonclinical Data (Consortium)
SES,Senior Executive Service
SF,safety factor
SF,Standard Form
SFB,spore-forming bacteria
SFIT,Safety First Implementation Team
SFLEO,senior federal law enforcement official
SFSC,Safety First Steering Committee
SG,study group
SGE,Special Government Employee
SGEMT (CFSAN),Special Government Employees Management Team (CFSAN)
SGI,Summer Genetics Institute
SGLT2,sodium-glucose co-transporter 2
SGML,standard generalized markup language
SGO,Surgeon General's Office
SHE,"safety, health and environment"
SIA,strip immunoblot assay
SIB (CDRH),Special Investigations Branch (CDRH)
SID,schedule identifier number (ORA AofC code)
SID,Source to Image Distance
SIDS,sudden infant death syndrome
SIF,seafood HACCP importer form (ORA AofC code)
SIG,Strategic Implementation Group
SIMCEN,National Exercise Simulation Center
SIMT,"Scientific, Internet/Intranet and Middle Tier (CFSAN)"
SIP,sterilization in place
SIP,Summer Internship Program in Biomedical Research
SIR,Society of Interventional Radiology (formerly SCVIR)
SIREN,Scientific Information Retrieval and Exchange Network (CFSAN)
SIS,Streamlined Inspection System (USDA)
SISTIR,Strategic Information Systems Technical Integration Resources
SITP (OC),Strategic IT Programs (OC)
SL,signature (address) line
SLEP,Shelf Life Extension Program
SLIP,serial line internet protocol/point-to-point protocol
SLK,Statens Legemiddel Kontroll (Norwegian Medicines Control Authorities)
SLO,state liaison officer
SLR,Supplement Labeling Revision
SM,starting material
SMART,Submission Management and Review Tracking
SMB (OC),Space Management Branch (OC)
SMCC,Standards Management Coordinating Committee (CBER)
SMDA,Safe Medical Devices Act of 1990
SME,significant medical event
SME,subject matter expert
SMF,site master file
SMG,Staff Manual Guide
SMO,site management organization
SMPS (CDRH),Standards Management Program Staff (CDRH)
SMS,Standards Management Staff (CDRH)
SMS (CFSAN),Safety Management Staff (CFSAN)
SMSB (CFSAN),Spectroscopy and Mass Spectrometry Branch (CFSAN)
SMT (CDER),Senior Management Team (CDER)
SMT (CFSAN),Statistical Methodology Team (CFSAN)
SMTP,simple mail transfer protocol
SN/AEMS,Special Nutritional Adverse Events Monitoring System
sNDA,supplemental new drug application
SNIP,Syndicat National de l'Industrie Pharmaceutique
SNL,Sandia National Laboratories
SNOMED-RT,Systematized Nomenclature of Medicine Reference Terminology
SNRI,serotonin-norepinephrine reuptake inhibitor
SNS,strategic national stockpile (CDC)
SOAB (OC),Systems and Office Automation Branch (OC)
SOC,System Organ Class
SOCRA,Society of Clinical Research Associates
SOM,sensitivity of method
SOP,standard operating procedure
SoPA,submission of portion of application
SOPP,Standard Operating Procedures and Policies
SORN,System of Records Notice
SOW,statement of work
SPA,Special Protocol Assessment
SPAC,State Pharmaceutical Administration of China
SPC,Summary of Product Characteristics (EMEA)
SPCS (CDER),Safety Policy and Communications Staff (CDER)
SPECT,single-photon emission computed tomography
SPF,sun protection factor
SPIE,International Society for Optical Engineering
SPL,structured product labeling
SPLAT,Structured Product Labeling Advisory Team
SPLIEP,Structured Product Labeling Interagency Executive Panel
SPOTS,Special Products On-Line Tracking System (CDER)
spp,species
SPPA,Strategic Partnership Program Agroterrorism Initiative
SPR,system problem report
SPRC,Seafood Products Research Center (CFSAN)
